Nombre,Descripcion,Vendedor,Imagenes
Delantal Romántico,Delantal confeccionado con telas 100%algodón Las medidas aprox. Son: Pechera 25x25cm Ancho delantal 60cm Largo total 65cm La limpieza del producto es lavado a mano ya q son piezas realizadas 100% a mano y con detalles decorativos q se pueden estropear en el lavado a máquina Costuras firmes y prolijas y duraderas,Patricia Cornejo,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/file_00000000b3d071f5958c094dca7511be-Patricia-Cornejo.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/17829107994155076465089802191026-Patricia-Cornejo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/17829109532758167665542070139788-Patricia-Cornejo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/c2af796ba8e68be48c027fc5d155e625-Patricia-Cornejo.jpg
Muraveinik,"Muraveinik, cuyo nombre significa literalmente “hormiguero”, es un postre tradicional de Europa del Este muy querido por varias generaciones. Se prepara de forma artesanal a partir de una masa horneada y desmenuzada, mezclada con una suave crema de dulce de leche y manteca, que luego se moldea con la característica forma de un hormiguero. Su textura combina un delicado crocante con una cremosidad irresistible, logrando un sabor casero que evoca las recetas de nuestras abuelas y los momentos compartidos en familia. Cada Muraveinik se elabora con ingredientes de excelente calidad y siguiendo recetas tradicionales familiares, cuidando cada detalle para ofrecer un producto auténtico, fresco y preparado con dedicación. Es el acompañamiento perfecto para un café, una merienda o para disfrutar de un dulce momento en cualquier ocasión.",Anna Tsimmerman,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG-20260629-WA0027-Anna-Tsimmerman.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG-20260629-WA0005-Anna-Tsimmerman.jpg
"Postre Tradicional Ruso ""Oreshki""","Los Oreshki son un dulce tradicional de Europa del Este, elaborados en una característica forma de nuez. Se preparan artesanalmente con una delicada masa a base de manteca y se rellenan con abundante dulce de leche, logrando una combinación suave, crocante y llena de sabor. Cada pieza se elabora con ingredientes de excelente calidad y siguiendo recetas tradicionales familiares, para ofrecer un producto auténtico, fresco y preparado con dedicación. Son ideales para acompañar un café, compartir en familia o disfrutar como un pequeño momento de felicidad.",Anna Tsimmerman,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG-20260629-WA0007-Anna-Tsimmerman.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG-20260629-WA0005-Anna-Tsimmerman.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG-20260629-WA0027-Anna-Tsimmerman.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG-20260629-WA0008-Anna-Tsimmerman.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG-20260629-WA0012-Anna-Tsimmerman.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG-20260629-WA0021-Anna-Tsimmerman.jpg
Espejos,Los espejos tambien estan hechos con la técnica de falso vitro y son para colgar en la pared,Holipan pan,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260629-WA0039-Holipan-pan.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260629-WA0038-Holipan-pan.jpg
Mandalas Colgantes,"Los colgantes son de diversas medidas (8cm, 13cm, 17, cm, 20 cm, 25 cm), pueden ser simples o juegos dobles y triples",Holipan pan,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20250414_105738-Holipan-pan-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/Screenshot_20250729_211957_Instagram-Holipan-pan.jpg
Fanales,Para realizar las lamparas utilizo hierrocomo estructura y vidrios dibujados y pintados con la tecnica de falso vitro. Las lamparas son electricas y miden 25 x15 cm aprox y las redondas 17 cm aprox,Holipan pan,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/Screenshot_20250729_211946_Instagram-Holipan-pan.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/Screenshot_20250729_212030_Instagram-Holipan-pan.jpg
Set de Recibidor para Bebés,"Es un set de recibimiento que está compuesto por body , pantalón ,y gorrito. diseñado para el uso diario . Confeccionado en 100% de algodón",nana.30@live.com.ar,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/Indumentaria_bebe-nana.30@live.com_.ar_.jpeg
Almohadón con Bolsillo,"Almohadón realizado en tela de poliéster, utilizando hilo de poliéster, mostacillas, acrotop y relleno de vellón siliconado. Mide 25 cm de ancho y 40 cm de alto. Se construye a través de un proceso de corte de las piezas de tela, luego se cose a máquina, se rellena y se finalizan los detalles como el bordado de rostros a mano.",gabriela alejandra goyochea,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260530-WA0002-gabriela-alejandra-goyochea.jpg
Almohadón con Nombre Personalizado,"Almohadón realizado en tela de poliéster usando hilo de poliéster, relleno de vellón siliconado y acrotop. Mide 40 cm de ancho y 30 cm de alto. Se construye a través de un proceso de corte de los lados del almohadón en tela, luego se cose a máquina, se rellena y se finalizan los detalles como el bordado de los nombres a mano.",gabriela alejandra goyochea,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/1-2.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260625-WA0030-gabriela-alejandra-goyochea.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260625-WA0033-gabriela-alejandra-goyochea.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260625-WA0034-gabriela-alejandra-goyochea.jpg
Duendes,"Muñeco realizado en tela de poliéster, utilizando hilo de poliéster, mostacillas y relleno de vellón siliconado. Mide 20 cm de alto aproximadamente. Se construye a través de un proceso de corte de las piezas de tela, luego se cose a máquina, se rellena y se finalizan los detalles como el bordado de rostros a mano.",gabriela alejandra goyochea,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260625-WA0029-gabriela-alejandra-goyochea.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/1-2.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20260208_1146261452-gabriela-alejandra-goyochea-scaled.jpg
Muñecos Amigurumis,"Amigurumis y llaveros tejidos con hilo de algodón y chenille, rellenos de vellos siliconado y con ojitos de seguridad, el cual permite que el ojito no se salga de su pieza.",Kirin Amigurumis,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260625-WA0079-Kirin-Amigurumis.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20260611_122626032_HDR-Kirin-Amigurumis-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260625-WA0080-Kirin-Amigurumis.jpg
Cajitas con Mermeladas,Obsequios de mermeladas en cajas.,Mary Turella,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20241022_141419496-Mary-Turella-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20230920_132935713-Mary-Turella-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20240217_205556542-Mary-Turella-scaled.jpg
Mermeladas Artesanales,"Mermeladas elaboradas de forma artesanal con frutas de estación , azúcar y sin conservantes",Mary Turella,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20241022_142636041-Mary-Turella-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20231222_155729223_HDR-Mary-Turella-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20240626_091154973-Mary-Turella-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20240626_102325269-Mary-Turella-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20241022_1326561682-Mary-Turella-scaled.jpg
Personajes en 3D,"Princesa ElsaFigura hecha a pedido y pintada mano de Maynard James Keenan, tiene una altura de 20 cm y está hecha en PLA(pastico)",Lucas Rivero,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20260625_160340050-Lucas-Rivero-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20260625_150817_718-Lucas-Rivero-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20260625_160340050-Lucas-Rivero-1-scaled.jpg
Mascotas Impresas en 3D a Pedido,,Lucas Rivero,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/Gemini_Generated_Image_j0r509j0r509j0r5-Lucas-Rivero.png
Bolsas de Dormir para Gatos y Perros,Las bolsitas de dormir para perro y gatos son Cómodas para colocar en cualquier lugar de la casa y para viajar,verónica Ortiz,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20260606_145538_588-veronica-Ortiz.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/file_000000001c7c720eb15785dc7d389617-veronica-Ortiz.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/file_0000000040fc720e80ec047102086c4e-veronica-Ortiz.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20260525_180444_792-veronica-Ortiz.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260518-WA0009-veronica-Ortiz.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260518-WA0012-veronica-Ortiz-scaled.jpg
Arnes en H,Estos pretales o arnes son recomendados por su util agarre y beneficio .,verónica Ortiz,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20260428_143734_517-veronica-Ortiz.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/file_000000006ab4720e952a02e8ea6e877a-veronica-Ortiz.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/file_00000000274071f5bef4d4a063a58bcf-veronica-Ortiz.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20260428_104142_137-veronica-Ortiz.jpg
Camitas Antiestrés,Esta camita es recomenda para los chachorritos para su adaptación a su nuevo hogar,verónica Ortiz,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20260519_215055_423-veronica-Ortiz.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/1.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/4c2af7e8598614640248faa4b5dbe08ac49cb441e5f20f66f2c16f545b3ff4e2-veronica-Ortiz.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/file_000000005274720ea9960336067d3c68-veronica-Ortiz.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/image_a2de947d-veronica-Ortiz.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260325-WA0013-veronica-Ortiz.jpg
Vinagre de Sidra de Manzana,"Nuestro Vinagre de Sidra de Manzana Orgánico es elaborado a partir de manzanas seleccionadas y fermentadas de manera natural hasta obtener un producto vivo, lleno de nutrientes y beneficios para tu bienestar. Se produce mediante un proceso artesanal en dos fermentaciones: 1️⃣ Primero se transforma el azúcar de la manzana en sidra. 2️⃣ Luego, gracias a bacterias acéticas beneficiosas, se convierte en vinagre, conservando la famosa “madre del vinagre”, un sedimento natural rico en enzimas y probióticos. Beneficios principales 🌿 ✅ Favorece la digestión y el equilibrio intestinal. ✅ Ayuda a regular los niveles de glucosa en sangre. ✅ Contribuye a un metabolismo más saludable. ✅ Apoya el sistema inmunológico gracias a sus enzimas y probióticos. ✅ Producto 100% natural, sin filtrar, sin pasteurizar y vegano. Uso sugerido 🍽️ Ideal para aderezar ensaladas, marinar vegetales, preparar bebidas depurativas o como tónico diario diluido en agua. Su sabor equilibrado, ligeramente ácido y afrutado, lo convierte en un aliado versátil en la cocina y en el cuidado personal.",MODESTY,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/Vinagre-MODESTY.jpeg
Kéfir de Agua,"Kéfir de Agua sabor Limón & Jengibre Nuestro Kéfir de Agua sabor Limón & Jengibre es una bebida probiótica artesanal, elaborada mediante la fermentación natural de granos de kéfir en agua filtrada con azúcar orgánica, que se transforma durante el proceso en ácidos orgánicos, vitaminas y millones de microorganismos vivos beneficiosos para tu salud. El resultado es una bebida ligeramente gasificada de manera natural, refrescante y con un sabor único: 🔹El limón aporta frescura cítrica, vitamina C y un toque revitalizante. 🔹El jengibre brinda un matiz cálido y picante, además de sus reconocidas propiedades digestivas y antioxidantes. Beneficios principales 🌿 ✅ Favorece el equilibrio de la flora intestinal gracias a sus probióticos naturales. ✅ Contribuye a una mejor digestión y absorción de nutrientes. ✅ Apoya el sistema inmunológico. ✅ Es bajo en calorías y azúcares, ya que gran parte se consume durante la fermentación. ✅ 100% natural, vegano y libre de aditivos. Uso sugerido 🥂 Ideal para acompañar tus comidas, refrescarte en cualquier momento del día o como alternativa saludable a las bebidas azucaradas y gaseosas industriales. Se recomienda mantener refrigerado y consumir frío para disfrutar al máximo su sabor burbujeante y vivo.",MODESTY,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/Kefir-MODESTY.jpeg
Gorras,"Es una gorra liviana, fresca y de estructura rígida al frente, pensada específicamente para soportar estampados pesados y el uso diario urbano.",Catalina Biasiori,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/1782416062695-Catalina-Biasiori.png
Estampado de Remeras de Algodón,"Estampas personalizadas – remera 100% algodon, con diseño elegido por el cliente",Catalina Biasiori,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260507-WA0003-Catalina-Biasiori.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/1782415949965-Catalina-Biasiori.png
Maletines Multiusos,Maletines de cartón forrado con ecocuero con manija y herrajes de cerrado,Tatiana fabiana Astudillo,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20230728_013419-Tatiana-fabiana-Astudillo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20230810_161138-Tatiana-fabiana-Astudillo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20231103_010525-Tatiana-fabiana-Astudillo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20231103_010656-Tatiana-fabiana-Astudillo-scaled.jpg
Mochila Infantil,Mochila de cara de dinosaurio de ecocuero con forro de gabardina con tiras regulabres,Tatiana fabiana Astudillo,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/mochi-caritas-Tatiana-fabiana-Astudillo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20231224_142615-Tatiana-fabiana-Astudillo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/mochi-azul-Tatiana-fabiana-Astudillo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/mochi-rosa-Tatiana-fabiana-Astudillo.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/rosa-frente-Tatiana-fabiana-Astudillo.jpeg
Mochila,Mochila de ecocuero con forro de gabardina negra con bolsillo frontal y detalles en remaches de metal en color niquel,Tatiana fabiana Astudillo,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20250317_151216-Tatiana-fabiana-Astudillo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20240826_012354-Tatiana-fabiana-Astudillo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20240826_012512-Tatiana-fabiana-Astudillo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20250409_114618-Tatiana-fabiana-Astudillo.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/mochila-Tatiana-fabiana-Astudillo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/mochilas-Tatiana-fabiana-Astudillo-rotated.jpg
Corpiño a Crochet,Corpiño tejido al crochet. Hilo peruano 100% algodón y talles 85 y 90.,Guadalupe Lemos,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/Screenshot_20260624-195843-Guadalupe-Lemos.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260624-WA0016-Guadalupe-Lemos.jpg
Chaleco,"Chaleco realizado en tricot, lana merino sedificada 40% y acrílico 60%. 40 cm de largo. Medidas S, M y L",Guadalupe Lemos,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/Diseno-sin-titulo-3-Guadalupe-Lemos.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20260418_184010322-Guadalupe-Lemos-scaled.jpg
Polainas,"Polainas realizadas en crochet, lana merino sedificada 40% y acrílico 60%. 40 cm de largo. Medidas 1y 2",Guadalupe Lemos,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20260422_171036992_HDR-Guadalupe-Lemos-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20260422_170957569_HDR-Guadalupe-Lemos-scaled.jpg
